"","ID","User","Date","Likes","RTs","Ashley.Johnson","Brian.W..Foster","Critical.Role","Laura.Bailey","Liam.O.Brien","Marisha.Ray","Matthew.Mercer","Sam.Riegel","Talisen.Jaffe","Talks.Machina","Travis.Willingham","FAotW"
"66","1088132945746030593","mitte","2019-01-22",3,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
"67","1088132554794897411","mumblingelf","2019-01-22",4,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
"68","1088119595406446593","johnmille1515","2019-01-22",7,2,0,0,0,0,0,0,0,0,0,0,0,FALSE
"69","1088117348207390720","RabbitIllustra1","2019-01-22",13,4,0,0,0,0,0,0,0,0,0,0,0,FALSE
"70","1088113359680094208","_naoot","2019-01-22",18,5,0,0,0,0,0,0,0,0,0,0,0,FALSE
"72","1088110864325070848","borifles","2019-01-22",10,3,0,0,0,0,0,0,0,0,0,0,0,FALSE
"73","1088110670560649216","ginaleighsmith","2019-01-22",1238,201,0,0,0,0,0,0,0,0,0,0,0,FALSE
"74","1088109940307357697","geek_classic","2019-01-22",9,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
"75","1088109304677310467","robowtie","2019-01-22",78,20,0,0,0,0,0,0,0,0,0,0,0,FALSE
"76","1088107759822868480","perspecterphoto","2019-01-22",18,3,0,0,0,0,0,0,0,0,0,0,0,FALSE
"77","1088106115282419713","perspecterphoto","2019-01-22",30,4,0,0,0,0,0,0,0,0,0,0,0,FALSE
"78","1088104702087188481","boopabelle","2019-01-22",22,4,0,0,0,0,0,0,0,0,0,0,0,FALSE
"79","1088103590747664384","Roll4Success","2019-01-22",8,2,0,0,0,0,0,0,0,0,0,0,0,FALSE
"80","1088102298641944576","annethomassen00","2019-01-22",19,4,0,0,0,0,0,0,0,0,0,0,0,FALSE
"81","1088100488778866688","IanFisherAudio","2019-01-22",17,3,0,0,0,0,0,0,0,0,0,0,0,FALSE
"83","1088093813128671233","LyallCallum","2019-01-22",40,3,0,0,0,0,0,0,0,0,0,0,0,FALSE
"84","1088093762046312448","_the_b_hive","2019-01-22",7,2,0,0,0,0,0,0,0,0,0,0,0,FALSE
"85","1088091749967253504","angelsmoon","2019-01-22",11,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
"86","1088079874709950469","ShevyF","2019-01-22",9,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
"88","1088075694037524481","kale_lehman","2019-01-22",19,2,0,0,0,0,0,0,0,0,0,0,0,FALSE
